numero,numeroCamara,titulo,estado,estadoAnotacion,comision,fechaRadicado,legislatura,url,origen,tipoLey,fechaEnvioComision,fechaPresentacion,fechaAprobacionPrimerDebate,fechaAprobacionSegundoDebate,fechaConciliacion,autores,exposicionMotivos,primeraPonencia,segundaPonencia,textoPlenaria,conciliacion,objeciones,concepto,textoRehecho,sentenciaCorte
"N 396/22",242/22,"POR LA CUAL SE DECLARAN DE INTERÉS SOCIAL NACIONAL Y COMO PRIORIDAD SANITARIA LA PREVENCIÓN, LA MITIGACIÓN, ERRADICACIÓN Y/O CONTENCIÓN DE LA MARCHITEZ DE PLÁTANO Y BANANO (MUSÁCEAS), DE LA ENFERMEDAD CONOCIDA COMO HUANGLONGBING (HLB) DE LOS CÍTRICOS, DE LA PUDRICIÓN DEL COGOLLO Y LA MARCHITEZ LETAL EN LA PALMA DE ACEITE EN TODO EL TERRITORIO COLOMBIANO Y SE DICTAN OTRAS DISPOSICIONES",LEY,"2303 DEL 13 DE JULIO DE 2023",QUINTA,2021-08-18,2021-2022,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2018-2022/2021-2022/article/396-por-la-cual-se-declaran-de-interes-social-nacional-y-como-prioridad-sanitaria-la-prevencion-la-mitigacion-erradicacion-y-o-contencion-de-la-marchitez-de-platano-y-banano-musaceas-de-la-enfermedad-conocida-como-huanglongbing-hlb-de-los-citricos-de-la-pudricion-del-cogollo-y-la-marchitez-letal-en-la-palma-de-aceite-en-todo-el-territorio-colombiano-y-se-dictan-otras-disposiciones,"CÁMARA DE REPRESENTANTES",ORDINARIA,,2021-08-18,2022-09-27,2022-12-14,2023-05-02,"[""H.S.FERNANDO NICOLAS ARAUJO RUMIE"",""H.S.EFRAIN JOSE CEPEDA SARABIA H.R.HERNANDO GUIDA PONCE"",""H.R.JENNIFER KRISTIN ARIAS FALLA"",""H.R.CESAR AUGUSTO LORDUY MALDONADO"",""H.R.ARMANDO ANTONIO ZABARAIN DE ARCE"",""H.R.ELBERT DIAZ LOZANO"",""H.R.KELYN JOHANA GONZALEZ DUARTE"",""H.R.CHRISTIAN JOSE MORENO VILLAMIZAR"",""H.R.OSCAR TULIO LIZCANO GONZALEZ"",""H.R.JOSE LUIS PINEDO CAMPO"",""H.R.JOSE ELIECER SALAZAR LOPEZ"",""H.R.ALONSO JOSE DEL RIO CABARCAS"",""H.R.FELIX ALEJANDRO CHICA CORREA"",""H.R.JOHN JAIRO ROLDAN AVENDAÑO"",""H.R.MILENE JARAVA DIAZ"",""H.R.JORGE ENRIQUE BURGOS LUGO"",""H.R.WILMER RAMIRO CARRILLO MENDOZA"",""H.R.SARA ELENA PIEDRAHITA LYONS"",""H.R.ELIZABETH JAY-PANG DIAZ"",""H.R.TERESA DE JESUS ENRIQUEZ ROSERO"",""H.R.MONICA LILIANA VALENCIA MONTAÑA"",""H.R.ALFREDO RAFAEL DELUQUE ZULETA"",""H.R.JOHN JAIRO CARDENAS MORAN"",""H.R.FABER ALBERTO MUÑOZ CERON"",""H.R.ASTRID SANCHEZ MONTES DE OCA""]",,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2022/gaceta_1101.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2022/gaceta_1431.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2022/gaceta_1708.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2023/gaceta_324.pdf,,,,
"N 395/22",375/21,"POR MEDIO DEL CUAL SE CREA EL FONDO DE ESTABILIZACIÓN DE PRECIOS DE LA PAPA Y SE DICTAN OTRAS DISPOSICIONES",ARCHIVADO,"",TERCERA,2021-11-10,2021-2022,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2018-2022/2021-2022/article/395-por-medio-del-cual-se-crea-el-fondo-de-estabilizacion-de-precios-de-la-papa-y-se-dictan-otras-disposiciones,"CÁMARA DE REPRESENTANTES",ORDINARIA,2022-06-07,2021-11-10,,,,"[""H.R.BUENAVENTURA LEÓN LEÓN""]",http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2021/gaceta_1642.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2022/gaceta_1151.pdf,,,,,,,
"N 394/22",364/21,"POR MEDIO DE LA CUAL SE ESTABLECE LA POLÍTICA DE ESTADO PARA EL DESARROLLO INTEGRAL EN LA INFANCIA Y ADOLESCENCIA",LEY,"Ley 2238 de 2023",PRIMERA,2021-11-02,2021-2022,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2018-2022/2021-2022/article/394-por-medio-de-la-cual-se-establece-la-politica-de-estado-para-el-desarrollo-integral-en-la-infancia-y-adolescencia,"CÁMARA DE REPRESENTANTES",ORDINARIA,2022-06-29,2021-11-02,2023-05-24,2023-06-13,2023-06-19,"[""H.S.RUBY HELENA CHAGUI SPATH"",""H.S.AMANDA ROCÍO GONZÁLEZ RODRÍGUEZ"",""H.S.CARLOS FELIPE MEJÍA MEJÍA"",""H.S.MILLA ROMERO SOTO"",""H.S.ALEJANDRO CORRALES ESCOBAR"",""H.S.ERNESTO MACÍAS TOVAR"",""H.S.ESPERANZA ANDRADE DE OSSO H.R.JENNIFER KRISTIN ARIAS FALLA"",""H.R.ADRIANA MAGALI MATIZ VARGAS"",""H.R.ESTEBAN QUINTERO CARDONA"",""H.R.JUAN FERNANDO ESPINAL RAMIREZ"",""H.R.EDWARD DAVID RODRÍGUEZ RODRÍGUEZ"",""H.R.JUAN PABLO CELIS VERGEL"",""H.R.MARGARITA MARÍA RESTREPO ARANGO"",""H.R.OSCAR LEONARDO VILLAMIZAR MENESES"",""H.R.HENRY CUÉLLAR RICO"",""H.R.HERNÁN HUMBERTO GARZÓN RODRÍGUEZ"",""H.R.MILTON HUGO ANGULO VIVEROS"",""H.R.JOSÉ JAIME USCÁTEGUI PASTRANA"",""H.R.DIEGO JAVIER OSORIO JIMENEZ"",""H.R.JOSÉ VICENTE CARREÑO CASTRO"",""H.R.MARTHA PATRICIA VILLALBA HODWALKER"",""H.R.JULIAN PEINADO RAMÍREZ"",""H.R.HARRY GIOVANNY GONZÁLEZ GARCÍA""]",,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2023/gaceta_445.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2023/gaceta_605.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2023/gaceta_706.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2023/gaceta_721.pdf,,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2023/gaceta_801.pdf,,
"N 393/22",424/21,"POR MEDIO DE LA CUAL SE MODIFICA EL ARTÍCULO 100 DE LA LEY 1438 DE 2011",LEY,"2333 DEL 25 DE SEPTIEMBRE DE 2023",SEPTIMA,2021-12-16,2021-2022,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2018-2022/2021-2022/article/393-por-medio-de-la-cual-se-modifica-el-articulo-100-de-la-ley-1438-de-2011,"CÁMARA DE REPRESENTANTES",ORDINARIA,2022-06-29,2021-12-16,2022-09-14,2023-04-25,2023-06-07,"[""H.R.NORMA HURTADO SÁNCHEZ"",""H.R.OSCAR TULIO LIZCANO GONZALEZ"",""H.R.MARTHA PATRICIA VILLALBA HODWALKER""]",,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2022/gaceta_932.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2022/gaceta_1252.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2023/gaceta_413.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2023/gaceta_573.pdf,,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2022/gaceta_854.pdf,,
"N 392/22",116/21,"POR MEDIO DEL CUAL SE ESTABLECEN PARÁMETROS PARA EL COBRO DE LA EXPEDICIÓN DE LAS TARJETAS Y/O MATRICULAS PROFESIONALES",ARCHIVADO,"Art 190 ley 5 de 1992 no alcanzo a culminar su tramite en senado",SEXTA,2021-07-22,2021-2022,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2018-2022/2021-2022/article/392-por-medio-del-cual-se-establecen-parametros-para-el-cobro-de-la-expedicion-de-las-tarjetas-y-o-matriculas-profesionales,"CÁMARA DE REPRESENTANTES",ORDINARIA,2022-06-29,2021-07-22,,,,"[""H.R.OSCAR HERNÁN SÁNCHEZ LEÓN"",""H.R.JOSÉ LUIS CORREA LÓPEZ"",""H.R.RODRIGO ARTURO ROJAS LARA"",""H.R.ADRIANA MAGALI MATIZ VARGAS"",""H.R.CARLOS JULIO BONILLA SOTO"",""H.R.ALEJANDRO ALBERTO VEGA PÉREZ"",""H.R.ALFREDO RAFAEL DELUQUE ZULETA"",""H.R.JULIO CÉSAR TRIANA QUINTERO"",""H.R.JUAN CARLOS LOZADA VARGAS"",""H.R.JAIRO HUMBERTO CRISTO CORREA""]",,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2022/gaceta_1587.pdf,,,,,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2023/gaceta_02.pdf,,
"N 391/22",256/21,"POR MEDIO DE LA CUAL SE AUTORIZA A LA ASAMBLEA DEL DEPARTAMENTO DEL CASANARE PARA EMITIR LA ESTAMPILLA PRO-HOSPITALES PUBLICOS, CENTROS DE SALUD PUBLICOS Y PUESTOS DE SALUD PUBLICOS DEL CASANARE",ARCHIVADO,"ARTICULO 190 LEY 5 Y ARTICULO 162 DE LA CONSTITUCION - 20/06/23",TERCERA,2021-08-19,2021-2022,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2018-2022/2021-2022/article/391-por-medio-de-la-cual-se-autoriza-a-la-asamblea-del-departamento-del-casanare-para-emitir-la-estampilla-pro-hospitales-publicos-centros-de-salud-publicos-y-puestos-de-salud-publicos-del-casanare,"CÁMARA DE REPRESENTANTES",ORDINARIA,,2021-08-19,,,,"[""H.R.Jairo Giovany Cristancho Tarache""]",http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2021/gaceta_1086.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2012/gaceta_957.pdf,,,,,,,
"N 390/22",244/21,"POR MEDIO DE LA CUAL SE MODIFICA Y ADICIONA LA LEY 1361 DE 2009 Y SE DICTAN OTRAS DISPOSICIONES",LEY,"2329 DEL 21 DE SEPTIEMBRE DE 2023",SEPTIMA,2021-08-18,2021-2022,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2018-2022/2021-2022/article/390-por-medio-de-la-cual-se-modifica-y-adiciona-la-ley-1361-de-2009-y-se-dictan-otras-disposiciones,"CÁMARA DE REPRESENTANTES",ORDINARIA,2022-06-29,2021-08-18,2022-09-13,2023-06-14,,"[""H.R.José Luis Pinedo Campo"",""H.R.Mauricio Parodi Diaz"",""H.R.Modesto Enrique Aguilera Vides"",""H.R.Karen Violette Cure Corcione"",""H.R.Eloy Chichí Quintero Romero"",""H.R.Faber Alberto Muñoz Cerón"",""H.R.Oscar Tulio Lizcano Gonzalez"",""H.R.Elizabeth Jay-Pang Díaz"",""H.R.Jhon Arley Murillo Benítez""]",,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2022/gaceta_932.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2022/gaceta_1187.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2023/gaceta_748.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2023/gaceta_722.pdf,,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2022/gaceta_1004.pdf,,
"N 389/22",405/21,"POR MEDIO DE LA CUAL SE AUTORIZA A LAS ASAMBLEAS DEPARTAMENTALES, CONCEJOS DISTRITALES Y MUNICIPALES, PARA EMITIR ESTAMPILLA PRO DISCAPACIDAD",ARCHIVADO,"ARTICULO 190 LEY 5 Y ARTICULO 162 DE LA CONSTITUCION - 20/06/23",TERCERA,2021-12-03,2021-2022,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2018-2022/2021-2022/article/389-por-medio-de-la-cual-se-autoriza-a-las-asambleas-departamentales-concejos-distritales-y-municipales-para-emitir-estampilla-pro-discapacidad,"CÁMARA DE REPRESENTANTES",ORDINARIA,2022-06-30,2021-12-03,,,,"[""H.R: BUENAVENTURA LEON LEON.""]",,,,,,,,,
"N 388/22",128/21,"POR LA CUAL SE CREA LA ESTAMPILLA ""PRO-EDUCACION SUPERIOR VAUPES"", EL ""FONDO PARA LA EDUCACION SUPERIOR -HIJOS DEL VAUPES-"" Y SE DICTAN OTRAS DISPOSICIONES",ARCHIVADO,"ARTICULO 190 LEY 5 Y ARTICULO 162 DE LA CONSTITUCION - 20/06/23",TERCERA,2021-07-23,2021-2022,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2018-2022/2021-2022/article/388-por-la-cual-se-crea-la-estampilla-pro-educacion-superior-vaupes-el-fondo-para-la-educacion-superior-hijos-del-vaupes-y-se-dictan-otras-disposiciones,"CÁMARA DE REPRESENTANTES",ORDINARIA,,2021-07-23,,,,"[""H.R: MONICA LILIANA VALENCIA MONTANA""]",http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2021/gaceta_958.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2022/gaceta_1154.pdf,,,,,,,
"N 387/22",301/21,"POR EL CUAL SE CREA EL SISTEMA PARA LA GARANTÍA PROGRESIVA DEL DERECHO A LA ALIMENTACIÓN Y SE DICTAN OTRAS DISPOSICIONES",ARCHIVADO,"Art 190 ley 5 de 1992 y Art 162 de la CP. (No se aprobó la Ponencia para Segundo Debate en Senado)",SEPTIMA,2021-09-01,2021-2022,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2018-2022/2021-2022/article/387-por-el-cual-se-crea-el-sistema-para-la-garantia-progresiva-del-derecho-a-la-alimentacion-y-se-dictan-otras-disposiciones,"CÁMARA DE REPRESENTANTES",ORDINARIA,2022-06-14,2021-09-01,2022-12-12,,,"[""MINISTRO DE AGRICULTURA Y DESARROLLO RURAL - RODOLFO ZEA NAVARRO""]",,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2022/gaceta_1100.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2023/gaceta_626.pdf,,,,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2022/gaceta_1578.pdf,,
"N 386/22",389/21,"POR MEDIO DE LA CUAL LA NACIÓN EXALTA, RECONOCE, FOMENTA Y FORTALECE EL OFICIO DE LAS PLATONERAS, PLATONEROS, PALENQUERAS Y PALENQUEROS COMO TRADICIÓN CULTURAL Y SE DICTAN OTRAS DISPOSICIONES",ARCHIVADO,"Art 190 ley 5 de 1992 no alcanzo a culminar su tramite en senado",SEXTA,2021-11-18,2021-2022,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2018-2022/2021-2022/article/386-por-medio-de-la-cual-la-nacion-exalta-reconoce-fomenta-y-fortalece-el-oficio-de-las-platoneras-platoneros-palenqueras-y-palenqueros-como-tradicion-cultural-y-se-dictan-otras-disposiciones,"CÁMARA DE REPRESENTANTES",ORDINARIA,2022-06-14,2021-11-18,2022-12-06,,,"[""H.S.MARIA DEL ROSARIO GUERRA DE LA ESPRIELLA"",""H.S.JOHN HAROLD SUAREZ VARGAS"",""H.S.LAUREANO AUGUSTO ACUÑA DÍAZ H.R.MILTON HUGO ANGULO VIVEROS"",""H.R.ADRIANA GÓMEZ MILLÁN"",""H.R.MARTHA PATRICIA VILLALBA HODWALKER"",""H.R.ASTRID SÁNCHEZ MONTES DE OCA"",""H.R.EMETERIO JOSÉ MONTES DE CASTRO"",""H.R.LUIS FERNANDO GÓMEZ BETANCOURT""]",,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2022/gaceta_1123.pdf,,,,,,,
"N 385/22",352/20,"POR MEDIO DE LA CUAL SE ADOPTA UNA POLÍTICA PÚBLICA DE ESTADO PARA LA PROMOCIÓN DE LA EDUCACIÓN SUPERIOR DE LOS MIEMBROS DE LAS COMUNIDADES NEGRAS, AFROCOLOMBIANAS, RAIZALES Y PALENQUERAS Y SE DICTAN OTRAS DISPOSICIONES",ARCHIVADO,"Art 190 ley 5 de 1992 no alcanzo a culminar su tramite en senado",SEXTA,2020-08-13,2021-2022,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2018-2022/2021-2022/article/385-por-medio-de-la-cual-se-adopta-una-politica-publica-de-estado-para-la-promocion-de-la-educacion-superior-de-los-miembros-de-las-comunidades-negras-afrocolombianas-raizales-y-palenqueras-y-se-dictan-otras-disposiciones,"CÁMARA DE REPRESENTANTES",ORDINARIA,2022-06-14,2020-08-13,,,,"[""H.R.JHON ARLEY MURILLO BENÍTEZ""]",,,,,,,,,
"N 384/22",17/21,"POR MEDIO DEL CUAL SE ESTABLECEN MEDIDAS QUE PROTEJAN EL DERECHO A LA INTIMIDAD DE LOS CONSUMIDORES FINANCIEROS",LEY,"Ley 2300 de 2023",PRIMERA,2021-07-20,2021-2022,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2018-2022/2021-2022/article/384-por-medio-del-cual-se-establecen-medidas-que-protejan-el-derecho-a-la-intimidad-de-los-consumidores-financieros,"CÁMARA DE REPRESENTANTES",ORDINARIA,2022-06-14,2021-07-20,2022-11-22,2023-04-18,2023-05-23,"[""H.R.JUAN CARLOS WILLS OSPINA"",""H.R.BUENAVENTURA LEÓN LEÓN"",""H.R.ARMANDO ANTONIO ZABARAÍN DE ARCE"",""H.R.CIRO ANTONIO RODRÍGUEZ PINZÓN"",""H.R.DIELA LILIANA BENAVIDES SOLARTE""]",,,,,,,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%radicados/Ponencias/2023/gaceta_259.pdf,,
"N 383/22",222/21,"POR LA CUAL SE EXPIDEN DISPOSICIONES SOBRE LAS ESTADÍSTICAS OFICIALES EN EL PAÍS",LEY,"Ley 2335 de 2023",PRIMERA,2021-08-11,2021-2022,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2018-2022/2021-2022/article/383-por-la-cual-se-expiden-disposiciones-sobre-las-estadisticas-oficiales-en-el-pais,"CÁMARA DE REPRESENTANTES",ORDINARIA,2022-06-14,2021-08-11,2022-11-15,2023-06-14,2023-06-20,"[""MINISTRO DEL INTERIOR - DANIEL PALACIOS MARTINEZ""]",,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2022/gaceta_1269.pdf,,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2023/gaceta_748.pdf,,,,,
"N 382/22",250/21,"POR MEDIO DE LA CUAL SE CREA EL CERTIFICADO DE RESPONSABILIDAD ÉTNICA EMPRESARIAL Y SE DICTAN OTRAS DISPOSICIONES",ARCHIVADO,"Art 190 ley 5 de 1992",SEPTIMA,2021-08-18,2021-2022,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2018-2022/2021-2022/article/382-por-medio-de-la-cual-se-crea-el-certificado-de-responsabilidad-etnica-empresarial-y-se-dictan-otras-disposiciones,"CÁMARA DE REPRESENTANTES",ORDINARIA,2022-06-14,2021-08-18,2023-03-21,,,"[""H.R.ASTRID SÁNCHEZ MONTES DE OCA""]",,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2022/gaceta_1621.pdf,,,,,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2022/gaceta_1004.pdf,,
"N 381/22",234/21,"POR MEDIO DE LA CUAL SE REGLAMENTA LA PARTICIPACIÓN DE LAS COMUNIDADES NEGRAS, AFROCOLOMBIANAS, RAIZALES Y PALENQUERAS EN EL SISTEMA GENERAL DE SEGURIDAD SOCIAL EN SALUD DE COLOMBIA",ARCHIVADO,"Art 190 ley 5 de 1992 y Art 162 de la CP. (No se aprobó la Ponencia para Primer Debate en Senado)",SEPTIMA,2021-08-01,2021-2022,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2018-2022/2021-2022/article/381-por-medio-de-la-cual-se-reglamenta-la-participacion-de-las-comunidades-negras-afrocolombianas-raizales-y-palenqueras-en-el-sistema-general-de-seguridad-social-en-salud-de-colombia,"CÁMARA DE REPRESENTANTES",ORDINARIA,2022-06-14,2021-08-01,,,,"[""H.R.JHON ARLEY MURILLO BENÍTEZ"",""H.R.ALEXANDER HARLEY BERMÚDEZ LASSO"",""H.R.FABER ALBERTO MUÑOZ CERÓN"",""H.R.HENRY FERNANDO CORREAL HERRERA"",""H.R.JORGE ELIÉCER TAMAYO MARULANDA"",""H.R.JORGE ENRIQUE BENEDETTI MARTELO"",""H.R.ELOY CHICHÍ QUINTERO ROMERO"",""H.R.FELIPE ANDRÉS MUÑOZ DELGADO"",""H.R.ANATOLIO HERNÁNDEZ LOZANO"",""H.R.MARÍA CRISTINA SOTO DE GÓMEZ"",""H.R.JAIRO REINALDO CALA SUÁREZ"",""H.R.JAIRO HUMBERTO CRISTO CORREA"",""H.R.OMAR DE JESÚS RESTREPO CORREA""]",,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2022/gaceta_1685.pdf,,,,,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2023/gaceta_8.pdf,,
"N 380/22",296/22,"POR MEDIO DE LA CUAL SE ADOPTAN MEDIDAS PARA GARANTIZAR LA DEFENSA E INTEGRIDAD TERRITORIAL EN EL AMBITO ESPACIAL Y SE DICTAN OTRAS DISPOSICIONES",LEY,"2302 DEL 12 DE JULIO DE 2023",SEGUNDA,2022-06-07,2021-2022,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2018-2022/2021-2022/article/380-por-medio-de-la-cual-se-adoptan-medidas-para-garantizar-la-defensa-e-integridad-territorial-en-el-ambito-espacial-y-se-dictan-otras-disposiciones,"SENADO DE LA REPUBLICA",ORDINARIA,2022-06-01,2022-06-07,2022-06-14,2022-11-16,2023-06-07,"[""H.S: JOSE LUIS PEREZ OYUELA""]",http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2022/gaceta_651.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2022/gaceta_660.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2022/gaceta_756.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2022/gaceta_1451.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2023/gaceta_623.pdf,,,,
"N 379/22",302/21,"POR EL CUAL SE CREA EL FONDO DE FOMENTO OVINO Y CAPRINO",ARCHIVADO,"ARTICULO 190 LEY 5  Y ARTICULO 162 DE LA CONSTITUCION",TERCERA,2020-07-30,2021-2022,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2018-2022/2021-2022/article/379-por-el-cual-se-crea-el-fondo-de-fomento-ovino-y-caprino,"CÁMARA DE REPRESENTANTES",ORDINARIA,,2020-07-30,,,,"[""H.S.ALEJANDRO CORRALES ESCOBAR"",""H.S.CIRO ALEJANDRO RAMIREZ CORTES H.R.RUBÉN DARÍO MOLANO PIÑEROS"",""H.R.GABRIEL JAIME VALLEJO CHUJFI"",""H.R.EDWIN GILBERTO BALLESTEROS ARCHILA"",""H.R.JUAN FERNANDO ESPINAL RAMIREZ""]",,,,,,,,,
